#Lambda(microns), dRNoCloud(m),dRcloud(m) 
1.4000700035, 2350142.7364117885, 2350142.7364117885 
1.3864818024, 2328692.5083338642, 2328692.5083338642 
1.3740982480, 2310800.3614831767, 2310800.3614831767 
1.3582896417, 2353155.3235340528, 2353155.3235340528 
1.3392976723, 2337882.2270830846, 2337882.2270830846 
1.3184567464, 1335533.8707497856, 1549719.2522063858 
1.2959621061, 1097140.2490338930, 1460538.8798254551 
1.2760676699, 1009300.5050620886, 1470800.7089695435 
1.2585700756, 1093272.1690714273, 1512597.7859736132 
1.2410604862, 1082807.0656555956, 1504715.5050793490 
1.2235596409, 1125686.2255887107, 1499085.4398335495 
1.2060507566, 1418738.6842297297, 1620516.1604489435 
1.1885554001, 1674940.8398247976, 1734454.8623830406 
1.1692111625, 1685051.6693831712, 1734454.8623830406 
1.1482209751, 1628074.1221278422, 1713622.1288731059 
1.1256127554, 1821163.1470490666, 1831842.1724759249 
1.1016188289, 1728956.0442194236, 1813161.4337652875 
1.0802460801, 1225623.5834364663, 1556608.2947315082 
1.0612500464, 1798874.1249209400, 1914860.3707372171 
1.0395739826, 1485546.6230189689, 1720615.0286594194 
1.0155815601, 1647622.0778106442, 1829206.1835678581 
0.9960109760, 1827999.8280640214, 1874569.7943902207 
0.9804161867, 1879464.0680569755, 1963383.0171434658 
0.9627975044, 1981238.4095992309, 1983159.4504783754 
0.9439127070, 2244200.4304544386, 2305337.3297712486 
0.9314846468, 2420026.2909231377, 2434070.6378391054 
0.9189107232, 1827725.4206971817, 2033975.5217437933 
0.9039588879, 2100932.9795006397, 2321422.1547186119 
0.8914523095, 2745628.8297665478, 2836668.9683515527 
0.8774354317, 2075903.6062743615, 2143446.2626899770 
0.8654749077, 2467205.1239091591, 2510188.8097185418 
0.8521589447, 2934564.5513327462, 3032602.5062935245 
0.8341466263, 2448916.3056903319, 2641120.2793952241 
0.8223413703, 2385141.6612059260, 2503274.3945163498 
0.8097297122, 2395468.2291572448, 2405000.6263187593 
0.7924275622, 3059908.7472253256, 3059908.7472253256 
0.7774266401, 3516753.8896152084, 3516753.8896152084 
0.7649675463, 3483638.8721013158, 3483638.8721013158 
0.7524256321, 2423954.0848203390, 2423954.0848203390 
0.7389508376, 2710888.1225729785, 2712809.1634521224 
0.7287753295, 3476391.9199951799, 3566608.7228233363 
0.7142551034, 4419757.1766752126, 4454088.9348185267 
0.6968738240, 3396198.1093236268, 3436090.7394369901 
0.6771237139, 4208744.9854668761, 4220476.0585022075 
0.6574146511, 3553217.9911342007, 3599521.7120680274 
0.6424134187, 3705767.0246890569, 3762377.5925014811 
0.6279730600, 4061052.7950489237, 4086346.7339285435 
0.6165152094, 3989275.6398127195, 3991196.6806918648 
0.6044067295, 3686493.1015348663, 3686493.1015348663 
0.5909397123, 4063580.5582586364, 4063580.5582586364 
0.5784275447, 3530237.3452495718, 3530237.3452495718 
0.5654253695, 3804060.6968986061, 3817838.3053288199 
0.5519114072, 3794708.1561916452, 3794708.1561916452 
0.5369329317, 3269066.3709021970, 3290499.9848902388 
0.5234916896, 3966279.8367120270, 3966279.8367120270 
0.5063957787, 3946816.5387680256, 3956423.1618038542 
0.4849378310, 3692803.3868554076, 3778510.5619751629 
0.4647855247, 3443051.1533885803, 3573102.5784799731 
0.4447755551, 2985443.3925827811, 3168192.9516955027 
0.4258100504, 2297333.8611382046, 2510188.8097185418 
0.4083232614, 1662655.3864009867, 1818120.4551888958 
0.3870968991, 997864.3863661707, 1477221.7729420578 
0.3620692620, 1111344.7976314868, 1502161.2686535835 
0.3370373741, 1541774.3989683110, 1620509.8850224130 
0.3120003120, 1663701.3149356958, 1892398.8705814688 
0.2869566028, 3935231.2135107978, 3935231.2135107978 
0.2678679652, 4870793.4600882046, 4870793.4600882046 
