# FORPRINT: Thu Feb 23 22:02:41 2017
#  lam[um]   F2/F1    F2/F1err-  F2/F1err+
   0.44200   0.02013  -0.00594   0.00774
   0.44300   0.02115  -0.00635   0.00817
   0.44400   0.02168  -0.00636   0.00810
   0.44500   0.02222  -0.00636   0.00803
   0.44600   0.02335  -0.00653   0.00815
   0.44700   0.02444  -0.00669   0.00827
   0.44800   0.02494  -0.00681   0.00838
   0.44900   0.02544  -0.00693   0.00850
   0.45000   0.02728  -0.00733   0.00876
   0.45100   0.02899  -0.00771   0.00900
   0.45200   0.02702  -0.00744   0.00891
   0.45300   0.02490  -0.00714   0.00882
   0.45400   0.02621  -0.00732   0.00889
   0.45500   0.02749  -0.00750   0.00897
   0.45600   0.02814  -0.00752   0.00895
   0.45700   0.02876  -0.00755   0.00892
   0.45800   0.02867  -0.00755   0.00891
   0.45900   0.02858  -0.00755   0.00890
   0.46000   0.02871  -0.00754   0.00890
   0.46100   0.02883  -0.00753   0.00890
   0.46200   0.02906  -0.00755   0.00888
   0.46300   0.02929  -0.00757   0.00887
   0.46400   0.02880  -0.00761   0.00899
   0.46500   0.02832  -0.00765   0.00910
   0.46600   0.02940  -0.00779   0.00913
   0.46700   0.03046  -0.00792   0.00917
   0.46800   0.03018  -0.00796   0.00925
   0.46900   0.02988  -0.00799   0.00932
   0.47000   0.02955  -0.00801   0.00944
   0.47100   0.02921  -0.00803   0.00956
   0.47200   0.02871  -0.00808   0.00966
   0.47300   0.02824  -0.00813   0.00976
   0.47400   0.02797  -0.00823   0.00995
   0.47500   0.02771  -0.00833   0.01013
   0.47600   0.02677  -0.00850   0.01046
   0.47700   0.02583  -0.00867   0.01079
   0.47800   0.02656  -0.00870   0.01071
   0.47900   0.02730  -0.00873   0.01064
   0.48000   0.02897  -0.00863   0.01025
   0.48100   0.03065  -0.00854   0.00985
   0.48200   0.03067  -0.00861   0.00998
   0.48300   0.03069  -0.00867   0.01010
   0.48400   0.03192  -0.00862   0.00998
   0.48500   0.03324  -0.00856   0.00985
   0.48600   0.03380  -0.00848   0.00986
   0.48700   0.03443  -0.00839   0.00987
   0.48800   0.03266  -0.00811   0.00959
   0.48900   0.03116  -0.00786   0.00935
   0.49000   0.03119  -0.00795   0.00947
   0.49100   0.03121  -0.00804   0.00960
   0.49200   0.03030  -0.00789   0.00957
   0.49300   0.02937  -0.00773   0.00955
   0.49400   0.02934  -0.00800   0.00984
   0.49500   0.02932  -0.00827   0.01012
   0.49600   0.02876  -0.00836   0.01028
   0.49700   0.02821  -0.00844   0.01043
   0.49800   0.02745  -0.00825   0.01038
   0.49900   0.02664  -0.00806   0.01032
   0.50000   0.02557  -0.00785   0.01025
   0.50100   0.02448  -0.00765   0.01018
   0.50200   0.02497  -0.00779   0.01031
   0.50300   0.02544  -0.00792   0.01043
   0.50400   0.02458  -0.00768   0.01033
   0.50500   0.02372  -0.00745   0.01023
   0.50600   0.02319  -0.00752   0.01053
   0.50700   0.02268  -0.00758   0.01081
   0.50800   0.02243  -0.00741   0.01058
   0.50900   0.02218  -0.00723   0.01035
   0.51000   0.02222  -0.00717   0.01029
   0.51100   0.02226  -0.00711   0.01022
   0.51200   0.02191  -0.00702   0.01020
   0.51300   0.02156  -0.00694   0.01017
   0.51400   0.02108  -0.00678   0.01001
   0.51500   0.02059  -0.00662   0.00984
   0.51600   0.02027  -0.00615   0.00899
   0.51700   0.01994  -0.00565   0.00809
   0.51800   0.02103  -0.00582   0.00827
   0.51900   0.02212  -0.00600   0.00844
   0.52000   0.02364  -0.00648   0.00895
   0.52100   0.02509  -0.00694   0.00943
   0.52200   0.02909  -0.00731   0.00934
   0.52300   0.03304  -0.00767   0.00926
   0.52400   0.03449  -0.00795   0.00942
   0.52500   0.03589  -0.00821   0.00958
   0.52600   0.03339  -0.00776   0.00934
   0.52700   0.03067  -0.00727   0.00908
   0.52800   0.03371  -0.00769   0.00930
   0.52900   0.03653  -0.00809   0.00950
   0.53000   0.03799  -0.00836   0.00969
   0.53100   0.03943  -0.00863   0.00988
   0.53200   0.03713  -0.00816   0.00959
   0.53300   0.03467  -0.00767   0.00928
   0.53400   0.03619  -0.00807   0.00960
   0.53500   0.03762  -0.00846   0.00990
   0.53600   0.03719  -0.00834   0.00984
   0.53700   0.03675  -0.00822   0.00978
   0.53800   0.03658  -0.00816   0.00974
   0.53900   0.03640  -0.00810   0.00970
   0.54000   0.03643  -0.00808   0.00968
   0.54100   0.03646  -0.00805   0.00965
   0.54200   0.03607  -0.00806   0.00971
   0.54300   0.03568  -0.00806   0.00977
   0.54400   0.03596  -0.00838   0.01002
   0.54500   0.03623  -0.00868   0.01026
   0.54600   0.03740  -0.00871   0.01014
   0.54700   0.03859  -0.00874   0.01002
   0.54800   0.03891  -0.00877   0.01003
   0.54900   0.03923  -0.00879   0.01004
   0.55000   0.03855  -0.00876   0.01007
   0.55100   0.03788  -0.00872   0.01010
   0.55200   0.03935  -0.00869   0.00998
   0.55300   0.04083  -0.00867   0.00986
   0.55400   0.04107  -0.00874   0.00994
   0.55500   0.04132  -0.00881   0.01002
   0.55600   0.04095  -0.00862   0.00991
   0.55700   0.04058  -0.00844   0.00978
   0.55800   0.03959  -0.00847   0.00988
   0.55900   0.03860  -0.00850   0.00998
   0.56000   0.03993  -0.00871   0.01002
   0.56100   0.04125  -0.00892   0.01006
   0.56200   0.04181  -0.00876   0.00989
   0.56300   0.04238  -0.00861   0.00973
   0.56400   0.04303  -0.00854   0.00965
   0.56500   0.04368  -0.00847   0.00957
   0.56600   0.04342  -0.00844   0.00958
   0.56700   0.04315  -0.00840   0.00959
   0.56800   0.04337  -0.00842   0.00962
   0.56900   0.04360  -0.00844   0.00965
   0.57000   0.04289  -0.00830   0.00960
   0.57100   0.04218  -0.00816   0.00956
   0.57200   0.04338  -0.00837   0.00971
   0.57300   0.04455  -0.00858   0.00986
   0.57400   0.04471  -0.00848   0.00974
   0.57500   0.04487  -0.00838   0.00961
   0.57600   0.04500  -0.00847   0.00967
   0.57700   0.04513  -0.00856   0.00974
   0.57800   0.04435  -0.00838   0.00964
   0.57900   0.04357  -0.00819   0.00953
   0.58000   0.04450  -0.00841   0.00966
   0.58100   0.04543  -0.00863   0.00979
   0.58200   0.04598  -0.00871   0.00984
   0.58300   0.04653  -0.00878   0.00990
   0.58400   0.04604  -0.00873   0.00989
   0.58500   0.04555  -0.00869   0.00987
   0.58600   0.04544  -0.00892   0.01004
   0.58700   0.04533  -0.00915   0.01020
   0.58800   0.03787  -0.00900   0.01078
   0.58900   0.03012  -0.00885   0.01138
   0.59000   0.03715  -0.00925   0.01101
   0.59100   0.04394  -0.00964   0.01067
   0.59200   0.04515  -0.00923   0.01029
   0.59300   0.04637  -0.00883   0.00991
   0.59400   0.04652  -0.00880   0.00991
   0.59500   0.04667  -0.00877   0.00991
   0.59600   0.04717  -0.00878   0.00990
   0.59700   0.04766  -0.00879   0.00989
   0.59800   0.04761  -0.00874   0.00987
   0.59900   0.04756  -0.00869   0.00985
   0.60000   0.04749  -0.00859   0.00977
   0.60100   0.04742  -0.00848   0.00968
   0.60200   0.04801  -0.00852   0.00972
   0.60300   0.04859  -0.00856   0.00975
   0.60400   0.04867  -0.00859   0.00979
   0.60500   0.04875  -0.00862   0.00983
   0.60600   0.04867  -0.00857   0.00982
   0.60700   0.04858  -0.00852   0.00980
   0.60800   0.04825  -0.00841   0.00971
   0.60900   0.04792  -0.00830   0.00962
   0.61000   0.04812  -0.00839   0.00969
   0.61100   0.04832  -0.00848   0.00977
   0.61200   0.04717  -0.00838   0.00977
   0.61300   0.04599  -0.00827   0.00978
   0.61400   0.04745  -0.00837   0.00978
   0.61500   0.04889  -0.00847   0.00978
   0.61600   0.04666  -0.00859   0.00994
   0.61700   0.04439  -0.00871   0.01010
   0.61800   0.04683  -0.00872   0.00995
   0.61900   0.04920  -0.00873   0.00982
   0.62000   0.04904  -0.00882   0.00990
   0.62100   0.04887  -0.00891   0.00998
   0.62200   0.04866  -0.00885   0.00990
   0.62300   0.04844  -0.00880   0.00981
   0.62400   0.04830  -0.00877   0.00986
   0.62500   0.04816  -0.00873   0.00990
   0.62600   0.04840  -0.00878   0.00995
   0.62700   0.04863  -0.00882   0.00999
   0.62800   0.04923  -0.00878   0.00993
   0.62900   0.04982  -0.00873   0.00987
   0.63000   0.04969  -0.00862   0.00980
   0.63100   0.04956  -0.00850   0.00973
   0.63200   0.04986  -0.00851   0.00972
   0.63300   0.05015  -0.00852   0.00971
   0.63400   0.05047  -0.00856   0.00973
   0.63500   0.05078  -0.00860   0.00976
   0.63600   0.05088  -0.00859   0.00976
   0.63700   0.05097  -0.00859   0.00977
   0.63800   0.05129  -0.00859   0.00974
   0.63900   0.05160  -0.00858   0.00971
   0.64000   0.05152  -0.00857   0.00970
   0.64100   0.05144  -0.00856   0.00968
   0.64200   0.05132  -0.00863   0.00980
   0.64300   0.05121  -0.00871   0.00992
   0.64400   0.05084  -0.00880   0.01002
   0.64500   0.05047  -0.00889   0.01011
   0.64600   0.05046  -0.00884   0.01007
   0.64700   0.05044  -0.00879   0.01003
   0.64800   0.05056  -0.00871   0.00995
   0.64900   0.05069  -0.00862   0.00986
   0.65000   0.05166  -0.00868   0.00989
   0.65100   0.05263  -0.00875   0.00992
   0.65200   0.05334  -0.00876   0.00989
   0.65300   0.05407  -0.00877   0.00986
   0.65400   0.05518  -0.00893   0.01004
   0.65500   0.05637  -0.00910   0.01023
   0.65600   0.06396  -0.00969   0.01062
   0.65700   0.06147  -0.00940   0.01038
   0.65800   0.05787  -0.00904   0.01009
   0.65900   0.05473  -0.00871   0.00983
   0.66000   0.05447  -0.00874   0.00985
   0.66100   0.05421  -0.00876   0.00987
   0.66200   0.05428  -0.00871   0.00979
   0.66300   0.05435  -0.00865   0.00971
   0.66400   0.05443  -0.00863   0.00970
   0.66500   0.05452  -0.00861   0.00969
   0.66600   0.05428  -0.00866   0.00970
   0.66700   0.05404  -0.00871   0.00972
   0.66800   0.05431  -0.00902   0.00990
   0.66900   0.05458  -0.00932   0.01008
   0.67000   0.05401  -0.00937   0.01009
   0.67100   0.05343  -0.00942   0.01010
   0.67200   0.05425  -0.00958   0.01014
   0.67300   0.05507  -0.00975   0.01019
   0.67400   0.05478  -0.00974   0.01022
   0.67500   0.05449  -0.00974   0.01024
   0.67600   0.05484  -0.00981   0.01026
   0.67700   0.05519  -0.00989   0.01027
   0.67800   0.05503  -0.00989   0.01029
   0.67900   0.05487  -0.00990   0.01031
   0.68000   0.05513  -0.00981   0.01024
   0.68100   0.05539  -0.00973   0.01016
   0.68200   0.05577  -0.00971   0.01017
   0.68300   0.05615  -0.00969   0.01017
   0.68400   0.05592  -0.00952   0.01005
   0.68500   0.05569  -0.00936   0.00992
   0.68600   0.05582  -0.00938   0.00998
   0.68700   0.05596  -0.00941   0.01005
   0.68800   0.05621  -0.00936   0.01004
   0.68900   0.05647  -0.00931   0.01004
   0.69000   0.05663  -0.00920   0.00997
   0.69100   0.05678  -0.00908   0.00991
   0.69200   0.05671  -0.00904   0.00988
   0.69300   0.05664  -0.00900   0.00985
   0.69400   0.05672  -0.00891   0.00981
   0.69500   0.05680  -0.00881   0.00977
   0.69600   0.05724  -0.00873   0.00971
   0.69700   0.05767  -0.00866   0.00964
   0.69800   0.05731  -0.00862   0.00968
   0.69900   0.05696  -0.00858   0.00971
   0.70000   0.05739  -0.00841   0.00956
   0.70100   0.05784  -0.00824   0.00939
   0.70200   0.05800  -0.00828   0.00944
   0.70300   0.05817  -0.00831   0.00950
   0.70400   0.05836  -0.00827   0.00948
   0.70500   0.05855  -0.00823   0.00947
   0.70600   0.05826  -0.00837   0.00954
   0.70700   0.05797  -0.00850   0.00962
   0.70800   0.05779  -0.00901   0.00984
   0.70900   0.05760  -0.00952   0.01006
   0.71000   0.05756  -0.01015   0.01040
   0.71100   0.05751  -0.01078   0.01075
   0.71200   0.05725  -0.01091   0.01075
   0.71300   0.05698  -0.01105   0.01076
   0.71400   0.05645  -0.01104   0.01086
   0.71500   0.05592  -0.01103   0.01096
   0.71600   0.05699  -0.01089   0.01079
   0.71700   0.05807  -0.01075   0.01062
   0.71800   0.05774  -0.01045   0.01041
   0.71900   0.05740  -0.01014   0.01020
   0.72000   0.05740  -0.01021   0.01034
   0.72100   0.05740  -0.01028   0.01048
   0.72200   0.05841  -0.01013   0.01035
   0.72300   0.05942  -0.00997   0.01023
   0.72400   0.05921  -0.00977   0.01018
   0.72500   0.05900  -0.00958   0.01013
   0.72600   0.05943  -0.00940   0.01001
   0.72700   0.05985  -0.00923   0.00989
   0.72800   0.06014  -0.00898   0.00968
   0.72900   0.06043  -0.00873   0.00947
   0.73000   0.06046  -0.00867   0.00952
   0.73100   0.06049  -0.00860   0.00957
   0.73200   0.06024  -0.00854   0.00959
   0.73300   0.05998  -0.00848   0.00961
