alpha,Lambda,FpoFs
#alpha=-180
-160,138.7925, 0.003952378080
-160,97.7517, 0.003721833481
-160,73.6920, 0.003500259260
-160,53.8793, 0.003330514540
-160,42.2119, 0.003164011599
-160,35.7526, 0.003104045148
-160,29.7000, 0.003065404450
-160,24.8385, 0.002981020368
-160,21.3950, 0.002880296974
-160,19.3817, 0.002840768374
-160,18.1802, 0.002803947951
-160,16.9779, 0.002785131635
-160,15.7766, 0.002770582972
-160,14.5751, 0.002735237121
-160,13.5879, 0.002738122030
-160,12.7869, 0.002751547059
-160,11.9861, 0.002762922705
-160,11.2918, 0.002779409113
-160,10.6918, 0.002752743302
-160,10.0913, 0.002718386038
-160,9.6479, 0.002642016499
-160,9.3475, 0.002518238629
-160,8.9952, 0.002384696145
-160,8.6730, 0.002232943837
-160,8.3452, 0.002084072945
-160,8.0743, 0.002013403785
-160,7.9039, 0.001946626090
-160,7.7140, 0.001929407313
-160,7.4982, 0.001926692325
-160,7.2839, 0.001871629604
-160,7.0937, 0.001842627491
-160,6.8726, 0.001779591038
-160,6.6638, 0.001688331945
-160,6.5153, 0.001736177727
-160,6.2974, 0.001966726618
-160,6.0639, 0.001858921377
-160,5.8990, 0.001728904568
-160,5.7594, 0.001695673088
-160,5.5721, 0.001656063907
-160,5.3791, 0.001632924693
-160,5.2647, 0.001622729646
-160,5.1491, 0.001590777387
-160,4.9998, 0.001546634501
-160,4.8816, 0.001523231123
-160,4.8274, 0.001506059662
-160,4.7964, 0.001506562211
-160,4.7498, 0.001510605574
-160,4.6999, 0.001508061900
-160,4.6623, 0.001514300368
-160,4.6050, 0.001447643541
-160,4.5041, 0.001434423181
-160,4.3952, 0.001491331920
-160,4.3007, 0.001547563802
-160,4.2019, 0.001615879156
-160,4.0737, 0.001722517798
-160,3.9494, 0.001846002666
-160,3.8493, 0.001788731561
-160,3.7493, 0.001663398212
-160,3.6621, 0.001497557463
-160,3.5871, 0.001373563757
-160,3.5131, 0.001266899148
-160,3.4381, 0.001182210063
-160,3.3634, 0.001085035581
-160,3.3078, 0.001039717302
-160,3.2691, 0.001005284934
-160,3.2309, 0.000928172818
-160,3.1934, 0.000884640670
-160,3.1559, 0.000845132850
-160,3.1184, 0.000825447498
-160,3.0848, 0.000784461973
-160,3.0548, 0.000773429343
-160,3.0145, 0.000731356278
-160,2.9647, 0.000679932223
-160,2.9086, 0.000652950825
-160,2.8468, 0.000622240122
-160,2.7875, 0.000602193440
-160,2.7304, 0.000587586622
-160,2.6756, 0.000606777573
-160,2.6230, 0.000596655677
-160,2.5736, 0.000540694478
-160,2.5272, 0.000533841120
-160,2.4816, 0.000586275190
-160,2.4368, 0.000649633350
-160,2.3942, 0.000713489515
-160,2.3536, 0.000739698280
-160,2.3143, 0.000761169188
-160,2.2765, 0.000811211427
-160,2.2400, 0.000797646072
-160,2.2089, 0.000766382903
-160,2.1828, 0.000747407646
-160,2.1625, 0.000749633048
-160,2.1477, 0.000689080301
-160,2.1365, 0.000678048114
-160,2.1288, 0.000648786019
-160,2.1136, 0.000624662226
-160,2.0911, 0.000573337309
-160,2.0698, 0.000531007204
-160,2.0498, 0.000492832992
-160,2.0298, 0.000466632752
-160,2.0098, 0.000428380795
-160,1.9820, 0.000420102995
-160,1.9470, 0.000417646636
-160,1.9163, 0.000400492121
-160,1.8894, 0.000379151597
-160,1.8631, 0.000335027888
-160,1.8374, 0.000346153107
-160,1.8123, 0.000357517775
-160,1.7884, 0.000371431432
-160,1.7656, 0.000403242229
-160,1.7405, 0.000464208462
-160,1.7133, 0.000494940395
-160,1.6915, 0.000526543953
-160,1.6749, 0.000535528691
-160,1.6598, 0.000499587722
-160,1.6461, 0.000487470458
-160,1.6274, 0.000448975016
-160,1.6040, 0.000417774286
-160,1.5837, 0.000398789234
-160,1.5672, 0.000361143397
-160,1.5523, 0.000330610985
-160,1.5376, 0.000300344097
-160,1.5226, 0.000278431103
-160,1.5060, 0.000261102905
-160,1.4881, 0.000230271741
-160,1.4706, 0.000215370549
-160,1.4524, 0.000208310076
-160,1.4337, 0.000184577585
-160,1.4159, 0.000180909209
-160,1.4001, 0.000195417120
-160,1.3865, 0.000201167794
-160,1.3741, 0.000192888529
-160,1.3583, 0.000191280804
-160,1.3393, 0.000223060523
-160,1.3185, 0.000363837526
-160,1.2960, 0.000363885476
-160,1.2761, 0.000358298735
-160,1.2586, 0.000308891973
-160,1.2411, 0.000306741964
-160,1.2236, 0.000308661287
-160,1.2061, 0.000268544667
-160,1.1886, 0.000237187410
-160,1.1692, 0.000219154660
-160,1.1482, 0.000211212026
-160,1.1256, 0.000199056359
-160,1.1016, 0.000197453787
-160,1.0802, 0.000219212071
-160,1.0613, 0.000166463956
-160,1.0396, 0.000151798505
-160,1.0156, 0.000129561479
-160,0.9960, 0.000110823602
-160,0.9804, 0.000108746308
-160,0.9628, 0.000100760241
-160,0.9439, 0.000073236218
-160,0.9315, 0.000055623625
-160,0.9189, 0.000084502923
-160,0.9040, 0.000070988625
-160,0.8915, 0.000049736968
-160,0.8774, 0.000054878347
-160,0.8655, 0.000036977355
-160,0.8522, 0.000024756739
-160,0.8341, 0.000035630536
-160,0.8223, 0.000035811021
-160,0.8097, 0.000031706900
-160,0.7924, 0.000015633265
-160,0.7774, 0.000012437718
-160,0.7650, 0.000010780529
-160,0.7524, 0.000019634452
-160,0.7390, 0.000016187147
-160,0.7288, 0.000010191452
-160,0.7143, 0.000008269381
-160,0.6969, 0.000007802434
-160,0.6771, 0.000006141844
-160,0.6574, 0.000005154292
-160,0.6424, 0.000004316746
-160,0.6280, 0.000004002394
-160,0.6165, 0.000003450634
-160,0.6044, 0.000002843685
-160,0.5909, 0.000002744011
-160,0.5784, 0.000002109296
-160,0.5654, 0.000002123897
-160,0.5519, 0.000001836106
-160,0.5369, 0.000001507887
-160,0.5235, 0.000001649321
-160,0.5064, 0.000001402624
-160,0.4849, 0.000000925120
-160,0.4648, 0.000000626087
-160,0.4448, 0.000000554192
-160,0.4258, 0.000000728056
-160,0.4083, 0.000001052300
-160,0.3871, 0.000001881593
-160,0.3621, 0.000001994807
-160,0.3370, 0.000001232355
-160,0.3120, 0.000000773985
-160,0.2870, 0.000000373995
-160,0.2679, 0.000001317526


#alpha=-140
-140,227.5313, 0.004755819935
-140,138.7925, 0.004367768290
-140,97.7517, 0.004138054664
-140,73.6920, 0.003927265375
-140,53.8793, 0.003763640564
-140,42.2119, 0.003598246770
-140,35.7526, 0.003538674678
-140,29.7000, 0.003489834003
-140,24.8385, 0.003399011426
-140,21.3950, 0.003298314122
-140,19.3817, 0.003265808141
-140,18.1802, 0.003227077856
-140,16.9779, 0.003202317063
-140,15.7766, 0.003178572854
-140,14.5751, 0.003136433947
-140,13.5879, 0.003127571876
-140,12.7869, 0.003129061264
-140,11.9861, 0.003126759967
-140,11.2918, 0.003129488826
-140,10.6918, 0.003096473031
-140,10.0913, 0.003054015241
-140,9.6479, 0.002978813870
-140,9.3475, 0.002868513772
-140,8.9952, 0.002747754256
-140,8.6730, 0.002612583317
-140,8.3452, 0.002478347893
-140,8.0743, 0.002411422154
-140,7.9039, 0.002348773135
-140,7.7140, 0.002327292639
-140,7.4982, 0.002317010770
-140,7.2839, 0.002261259647
-140,7.0937, 0.002228352243
-140,6.8726, 0.002165680898
-140,6.6638, 0.002078033434
-140,6.5153, 0.002113671604
-140,6.2974, 0.002302436158
-140,6.0639, 0.002201855716
-140,5.8990, 0.002084944347
-140,5.7594, 0.002050740518
-140,5.5721, 0.002009922158
-140,5.3791, 0.001984891641
-140,5.2647, 0.001970550214
-140,5.1491, 0.001937895783
-140,4.9998, 0.001893816501
-140,4.8816, 0.001871809094
-140,4.8274, 0.001847594183
-140,4.7964, 0.001856680701
-140,4.7498, 0.001858999954
-140,4.6999, 0.001853395698
-140,4.6623, 0.001859656658
-140,4.6050, 0.001801381703
-140,4.5041, 0.001783064690
-140,4.3952, 0.001811080352
-140,4.3007, 0.001834880147
-140,4.2019, 0.001881999982
-140,4.0737, 0.001965503211
-140,3.9494, 0.002065688500
-140,3.8493, 0.002009145100
-140,3.7493, 0.001893802421
-140,3.6621, 0.001738354195
-140,3.5871, 0.001622316047
-140,3.5131, 0.001521356064
-140,3.4381, 0.001439848321
-140,3.3634, 0.001346318239
-140,3.3078, 0.001306188639
-140,3.2691, 0.001265861620
-140,3.2309, 0.001194002278
-140,3.1934, 0.001152415778
-140,3.1559, 0.001114058783
-140,3.1184, 0.001093559228
-140,3.0848, 0.001052458041
-140,3.0548, 0.001040942094
-140,3.0145, 0.000997083844
-140,2.9647, 0.000946548741
-140,2.9086, 0.000915722106
-140,2.8468, 0.000882520702
-140,2.7875, 0.000856855212
-140,2.7304, 0.000837762344
-140,2.6756, 0.000847949992
-140,2.6230, 0.000835880991
-140,2.5736, 0.000780155250
-140,2.5272, 0.000768658848
-140,2.4816, 0.000810052856
-140,2.4368, 0.000862273640
-140,2.3942, 0.000915260246
-140,2.3536, 0.000932696626
-140,2.3143, 0.000946979891
-140,2.2765, 0.000983818371
-140,2.2400, 0.000962794225
-140,2.2089, 0.000927843898
-140,2.1828, 0.000905772810
-140,2.1625, 0.000910081665
-140,2.1477, 0.000843443190
-140,2.1365, 0.000832601951
-140,2.1288, 0.000803735451
-140,2.1136, 0.000779165023
-140,2.0911, 0.000729387966
-140,2.0698, 0.000688353543
-140,2.0498, 0.000649957256
-140,2.0298, 0.000626966869
-140,2.0098, 0.000587203812
-140,1.9820, 0.000577960202
-140,1.9470, 0.000574334782
-140,1.9163, 0.000548488801
-140,1.8894, 0.000528963024
-140,1.8631, 0.000484685316
-140,1.8374, 0.000487614796
-140,1.8123, 0.000498534397
-140,1.7884, 0.000502999305
-140,1.7656, 0.000528949212
-140,1.7405, 0.000585293232
-140,1.7133, 0.000603271873
-140,1.6915, 0.000628603275
-140,1.6749, 0.000638366945
-140,1.6598, 0.000597272130
-140,1.6461, 0.000588467911
-140,1.6274, 0.000548530735
-140,1.6040, 0.000517996560
-140,1.5837, 0.000501466349
-140,1.5672, 0.000461446061
-140,1.5523, 0.000431902299
-140,1.5376, 0.000402299013
-140,1.5226, 0.000381239455
-140,1.5060, 0.000366493125
-140,1.4881, 0.000334265581
-140,1.4706, 0.000318427759
-140,1.4524, 0.000310359156
-140,1.4337, 0.000286368462
-140,1.4159, 0.000280524119
-140,1.4001, 0.000292238013
-140,1.3865, 0.000296494839
-140,1.3741, 0.000287776467
-140,1.3583, 0.000284716086
-140,1.3393, 0.000312097606
-140,1.3185, 0.000435017364
-140,1.2960, 0.000431804424
-140,1.2761, 0.000425988932
-140,1.2586, 0.000378825592
-140,1.2411, 0.000374265426
-140,1.2236, 0.000374370698
-140,1.2061, 0.000338122131
-140,1.1886, 0.000308553509
-140,1.1692, 0.000289498289
-140,1.1482, 0.000276923530
-140,1.1256, 0.000263684735
-140,1.1016, 0.000258994460
-140,1.0802, 0.000276414031
-140,1.0613, 0.000227209557
-140,1.0396, 0.000207682412
-140,1.0156, 0.000184413758
-140,0.9960, 0.000164057628
-140,0.9804, 0.000158656506
-140,0.9628, 0.000150522689
-140,0.9439, 0.000119854556
-140,0.9315, 0.000100184091
-140,0.9189, 0.000127303364
-140,0.9040, 0.000113617228
-140,0.8915, 0.000090254866
-140,0.8774, 0.000094455203
-140,0.8655, 0.000075348419
-140,0.8522, 0.000060150781
-140,0.8341, 0.000069047284
-140,0.8223, 0.000068167988
-140,0.8097, 0.000062152098
-140,0.7924, 0.000044045445
-140,0.7774, 0.000039645624
-140,0.7650, 0.000036325676
-140,0.7524, 0.000044255053
-140,0.7390, 0.000038836746
-140,0.7288, 0.000032054544
-140,0.7143, 0.000031324775
-140,0.6969, 0.000025969840
