# FORPRINT: Tue Nov 29 08:32:13 2016
# lambda[um]  F1       F2
   2.80900  2.06e-11  3.45e-12
   2.81000  2.05e-11  3.44e-12
   2.81100  2.05e-11  3.44e-12
   2.81200  2.05e-11  3.43e-12
   2.81300  2.05e-11  3.43e-12
   2.81400  2.05e-11  3.43e-12
   2.81500  2.04e-11  3.42e-12
   2.81600  2.04e-11  3.42e-12
   2.81700  2.04e-11  3.42e-12
   2.81800  2.04e-11  3.42e-12
   2.81900  2.04e-11  3.41e-12
   2.82000  2.03e-11  3.41e-12
   2.82100  2.03e-11  3.41e-12
   2.82200  2.03e-11  3.40e-12
   2.82300  2.03e-11  3.40e-12
   2.82400  2.03e-11  3.40e-12
   2.82500  2.02e-11  3.40e-12
   2.82600  2.02e-11  3.39e-12
   2.82700  2.02e-11  3.39e-12
   2.82800  2.02e-11  3.39e-12
   2.82900  2.02e-11  3.39e-12
   2.83000  2.02e-11  3.39e-12
   2.83100  2.01e-11  3.38e-12
   2.83200  2.01e-11  3.38e-12
   2.83300  2.01e-11  3.38e-12
   2.83400  2.01e-11  3.38e-12
   2.83500  2.01e-11  3.37e-12
   2.83600  2.00e-11  3.37e-12
   2.83700  2.00e-11  3.37e-12
   2.83800  2.00e-11  3.36e-12
   2.83900  2.00e-11  3.36e-12
   2.84000  1.99e-11  3.35e-12
   2.84100  1.99e-11  3.35e-12
   2.84200  1.99e-11  3.35e-12
   2.84300  1.99e-11  3.34e-12
   2.84400  1.98e-11  3.34e-12
   2.84500  1.98e-11  3.34e-12
   2.84600  1.98e-11  3.33e-12
   2.84700  1.98e-11  3.33e-12
   2.84800  1.98e-11  3.33e-12
   2.84900  1.98e-11  3.32e-12
   2.85000  1.97e-11  3.32e-12
   2.85100  1.97e-11  3.32e-12
   2.85200  1.97e-11  3.32e-12
   2.85300  1.97e-11  3.31e-12
   2.85400  1.97e-11  3.31e-12
   2.85500  1.97e-11  3.31e-12
   2.85600  1.96e-11  3.30e-12
   2.85700  1.96e-11  3.30e-12
   2.85800  1.96e-11  3.30e-12
   2.85900  1.95e-11  3.30e-12
   2.86000  1.95e-11  3.29e-12
   2.86100  1.95e-11  3.29e-12
   2.86200  1.95e-11  3.29e-12
   2.86300  1.94e-11  3.28e-12
   2.86400  1.94e-11  3.28e-12
   2.86500  1.94e-11  3.28e-12
   2.86600  1.93e-11  3.28e-12
   2.86700  1.93e-11  3.27e-12
   2.86800  1.92e-11  3.27e-12
   2.86900  1.92e-11  3.27e-12
   2.87000  1.91e-11  3.27e-12
   2.87100  1.91e-11  3.26e-12
   2.87200  1.90e-11  3.26e-12
   2.87300  1.90e-11  3.26e-12
   2.87400  1.89e-11  3.25e-12
   2.87500  1.89e-11  3.25e-12
   2.87600  1.89e-11  3.25e-12
   2.87700  1.89e-11  3.25e-12
   2.87800  1.89e-11  3.24e-12
   2.87900  1.90e-11  3.24e-12
   2.88000  1.90e-11  3.24e-12
   2.88100  1.90e-11  3.23e-12
   2.88200  1.90e-11  3.23e-12
   2.88300  1.90e-11  3.23e-12
   2.88400  1.90e-11  3.22e-12
   2.88500  1.91e-11  3.22e-12
   2.88600  1.90e-11  3.22e-12
   2.88700  1.90e-11  3.22e-12
   2.88800  1.90e-11  3.21e-12
   2.88900  1.90e-11  3.21e-12
   2.89000  1.90e-11  3.21e-12
   2.89100  1.90e-11  3.20e-12
   2.89200  1.90e-11  3.20e-12
   2.89300  1.90e-11  3.20e-12
   2.89400  1.89e-11  3.20e-12
   2.89500  1.89e-11  3.19e-12
   2.89600  1.89e-11  3.19e-12
   2.89700  1.89e-11  3.19e-12
   2.89800  1.89e-11  3.18e-12
   2.89900  1.89e-11  3.18e-12
   2.90000  1.88e-11  3.18e-12
   2.90100  1.88e-11  3.17e-12
   2.90200  1.88e-11  3.17e-12
   2.90300  1.88e-11  3.17e-12
   2.90400  1.88e-11  3.17e-12
   2.90500  1.87e-11  3.16e-12
   2.90600  1.87e-11  3.16e-12
   2.90700  1.87e-11  3.16e-12
   2.90800  1.87e-11  3.15e-12
   2.90900  1.87e-11  3.15e-12
   2.91000  1.87e-11  3.15e-12
   2.91100  1.86e-11  3.15e-12
   2.91200  1.86e-11  3.14e-12
   2.91300  1.86e-11  3.14e-12
   2.91400  1.86e-11  3.14e-12
   2.91500  1.86e-11  3.14e-12
   2.91600  1.85e-11  3.13e-12
   2.91700  1.85e-11  3.13e-12
   2.91800  1.85e-11  3.12e-12
   2.91900  1.85e-11  3.11e-12
   2.92000  1.85e-11  3.11e-12
   2.92100  1.84e-11  3.10e-12
   2.92200  1.84e-11  3.10e-12
   2.92300  1.84e-11  3.09e-12
   2.92400  1.84e-11  3.09e-12
   2.92500  1.84e-11  3.08e-12
   2.92600  1.84e-11  3.08e-12
   2.92700  1.83e-11  3.08e-12
   2.92800  1.83e-11  3.08e-12
   2.92900  1.83e-11  3.08e-12
   2.93000  1.83e-11  3.08e-12
   2.93100  1.83e-11  3.08e-12
   2.93200  1.83e-11  3.08e-12
   2.93300  1.83e-11  3.08e-12
   2.93400  1.82e-11  3.08e-12
   2.93500  1.82e-11  3.08e-12
   2.93600  1.82e-11  3.07e-12
   2.93700  1.82e-11  3.07e-12
   2.93800  1.82e-11  3.07e-12
   2.93900  1.82e-11  3.07e-12
   2.94000  1.81e-11  3.06e-12
   2.94100  1.81e-11  3.06e-12
   2.94200  1.81e-11  3.06e-12
   2.94300  1.81e-11  3.05e-12
   2.94400  1.81e-11  3.05e-12
   2.94500  1.80e-11  3.05e-12
   2.94600  1.80e-11  3.05e-12
   2.94700  1.80e-11  3.04e-12
   2.94800  1.80e-11  3.04e-12
   2.94900  1.80e-11  3.04e-12
   2.95000  1.80e-11  3.04e-12
   2.95100  1.79e-11  3.03e-12
   2.95200  1.79e-11  3.03e-12
   2.95300  1.79e-11  3.03e-12
   2.95400  1.79e-11  3.03e-12
   2.95500  1.79e-11  3.02e-12
   2.95600  1.79e-11  3.02e-12
   2.95700  1.79e-11  3.02e-12
   2.95800  1.78e-11  3.02e-12
   2.95900  1.78e-11  3.02e-12
   2.96000  1.78e-11  3.01e-12
   2.96100  1.78e-11  3.01e-12
   2.96200  1.78e-11  3.01e-12
   2.96300  1.78e-11  3.01e-12
   2.96400  1.77e-11  3.00e-12
   2.96500  1.77e-11  3.00e-12
   2.96600  1.77e-11  3.00e-12
   2.96700  1.77e-11  3.00e-12
   2.96800  1.77e-11  2.99e-12
   2.96900  1.77e-11  2.99e-12
   2.97000  1.76e-11  2.99e-12
   2.97100  1.76e-11  2.99e-12
   2.97200  1.76e-11  2.98e-12
   2.97300  1.76e-11  2.98e-12
   2.97400  1.76e-11  2.98e-12
   2.97500  1.76e-11  2.98e-12
   2.97600  1.75e-11  2.97e-12
   2.97700  1.75e-11  2.97e-12
   2.97800  1.75e-11  2.97e-12
   2.97900  1.75e-11  2.96e-12
   2.98000  1.75e-11  2.96e-12
   2.98100  1.75e-11  2.96e-12
   2.98200  1.75e-11  2.95e-12
   2.98300  1.74e-11  2.95e-12
   2.98400  1.74e-11  2.95e-12
   2.98500  1.74e-11  2.95e-12
   2.98600  1.74e-11  2.94e-12
   2.98700  1.74e-11  2.94e-12
   2.98800  1.73e-11  2.94e-12
   2.98900  1.73e-11  2.93e-12
   2.99000  1.73e-11  2.93e-12
   2.99100  1.73e-11  2.93e-12
   2.99200  1.73e-11  2.93e-12
   2.99300  1.73e-11  2.92e-12
   2.99400  1.72e-11  2.92e-12
   2.99500  1.72e-11  2.92e-12
   2.99600  1.72e-11  2.91e-12
   2.99700  1.72e-11  2.91e-12
   2.99800  1.72e-11  2.91e-12
   2.99900  1.72e-11  2.91e-12
   3.00000  1.71e-11  2.90e-12
   3.00100  1.71e-11  2.90e-12
   3.00200  1.71e-11  2.90e-12
   3.00300  1.71e-11  2.90e-12
   3.00400  1.71e-11  2.90e-12
   3.00500  1.71e-11  2.89e-12
   3.00600  1.71e-11  2.89e-12
   3.00700  1.70e-11  2.89e-12
   3.00800  1.70e-11  2.89e-12
   3.00900  1.70e-11  2.88e-12
   3.01000  1.70e-11  2.88e-12
   3.01100  1.70e-11  2.88e-12
   3.01200  1.70e-11  2.88e-12
   3.01300  1.70e-11  2.88e-12
   3.01400  1.69e-11  2.87e-12
   3.01500  1.69e-11  2.87e-12
   3.01600  1.69e-11  2.87e-12
   3.01700  1.69e-11  2.87e-12
   3.01800  1.69e-11  2.86e-12
   3.01900  1.69e-11  2.86e-12
   3.02000  1.68e-11  2.86e-12
   3.02100  1.68e-11  2.85e-12
   3.02200  1.68e-11  2.85e-12
   3.02300  1.68e-11  2.85e-12
   3.02400  1.68e-11  2.84e-12
   3.02500  1.67e-11  2.84e-12
   3.02600  1.67e-11  2.84e-12
   3.02700  1.67e-11  2.84e-12
   3.02800  1.66e-11  2.83e-12
   3.02900  1.66e-11  2.83e-12
   3.03000  1.65e-11  2.83e-12
   3.03100  1.65e-11  2.83e-12
   3.03200  1.64e-11  2.82e-12
   3.03300  1.64e-11  2.82e-12
   3.03400  1.63e-11  2.82e-12
   3.03500  1.63e-11  2.81e-12
   3.03600  1.63e-11  2.81e-12
   3.03700  1.63e-11  2.81e-12
   3.03800  1.63e-11  2.81e-12
   3.03900  1.63e-11  2.81e-12
   3.04000  1.63e-11  2.81e-12
   3.04100  1.63e-11  2.80e-12
   3.04200  1.63e-11  2.80e-12
   3.04300  1.63e-11  2.80e-12
   3.04400  1.63e-11  2.80e-12
   3.04500  1.63e-11  2.80e-12
   3.04600  1.63e-11  2.79e-12
   3.04700  1.63e-11  2.79e-12
   3.04800  1.63e-11  2.79e-12
   3.04900  1.63e-11  2.79e-12
   3.05000  1.63e-11  2.78e-12
   3.05100  1.63e-11  2.78e-12
   3.05200  1.63e-11  2.78e-12
   3.05300  1.63e-11  2.77e-12
   3.05400  1.63e-11  2.77e-12
   3.05500  1.63e-11  2.77e-12
   3.05600  1.63e-11  2.77e-12
   3.05700  1.63e-11  2.76e-12
   3.05800  1.63e-11  2.76e-12
   3.05900  1.62e-11  2.76e-12
   3.06000  1.62e-11  2.76e-12
   3.06100  1.62e-11  2.75e-12
   3.06200  1.62e-11  2.75e-12
   3.06300  1.62e-11  2.75e-12
   3.06400  1.62e-11  2.74e-12
   3.06500  1.61e-11  2.74e-12
   3.06600  1.61e-11  2.74e-12
   3.06700  1.61e-11  2.74e-12
   3.06800  1.61e-11  2.74e-12
   3.06900  1.61e-11  2.73e-12
   3.07000  1.61e-11  2.73e-12
   3.07100  1.61e-11  2.73e-12
   3.07200  1.61e-11  2.73e-12
   3.07300  1.61e-11  2.73e-12
   3.07400  1.60e-11  2.73e-12
   3.07500  1.60e-11  2.72e-12
   3.07600  1.60e-11  2.72e-12
   3.07700  1.60e-11  2.72e-12
   3.07800  1.60e-11  2.71e-12
   3.07900  1.60e-11  2.71e-12
   3.08000  1.59e-11  2.71e-12
   3.08100  1.59e-11  2.70e-12
   3.08200  1.59e-11  2.70e-12
   3.08300  1.59e-11  2.70e-12
   3.08400  1.59e-11  2.69e-12
   3.08500  1.59e-11  2.69e-12
   3.08600  1.58e-11  2.69e-12
   3.08700  1.58e-11  2.69e-12
   3.08800  1.58e-11  2.68e-12
   3.08900  1.58e-11  2.68e-12
   3.09000  1.58e-11  2.68e-12
   3.09100  1.58e-11  2.68e-12
   3.09200  1.58e-11  2.68e-12
   3.09300  1.58e-11  2.68e-12
   3.09400  1.57e-11  2.67e-12
   3.09500  1.57e-11  2.67e-12
   3.09600  1.57e-11  2.67e-12
   3.09700  1.57e-11  2.67e-12
   3.09800  1.57e-11  2.67e-12
   3.09900  1.57e-11  2.66e-12
   3.10000  1.57e-11  2.66e-12
   3.10100  1.57e-11  2.66e-12
   3.10200  1.56e-11  2.66e-12
   3.10300  1.56e-11  2.66e-12
   3.10400  1.56e-11  2.66e-12
   3.10500  1.56e-11  2.65e-12
   3.10600  1.56e-11  2.65e-12
   3.10700  1.56e-11  2.64e-12
   3.10800  1.55e-11  2.64e-12
   3.10900  1.55e-11  2.64e-12
   3.11000  1.55e-11  2.63e-12
   3.11100  1.55e-11  2.63e-12
   3.11200  1.54e-11  2.62e-12
   3.11300  1.54e-11  2.62e-12
   3.11400  1.54e-11  2.62e-12
   3.11500  1.54e-11  2.61e-12
   3.11600  1.54e-11  2.61e-12
   3.11700  1.54e-11  2.61e-12
   3.11800  1.54e-11  2.61e-12
   3.11900  1.54e-11  2.61e-12
   3.12000  1.53e-11  2.61e-12
   3.12100  1.53e-11  2.61e-12
   3.12200  1.53e-11  2.61e-12
   3.12300  1.53e-11  2.61e-12
   3.12400  1.53e-11  2.61e-12
   3.12500  1.53e-11  2.61e-12
   3.12600  1.53e-11  2.60e-12
   3.12700  1.53e-11  2.60e-12
   3.12800  1.53e-11  2.60e-12
   3.12900  1.53e-11  2.60e-12
   3.13000  1.53e-11  2.60e-12
   3.13100  1.52e-11  2.59e-12
   3.13200  1.52e-11  2.59e-12
   3.13300  1.52e-11  2.59e-12
   3.13400  1.52e-11  2.59e-12
   3.13500  1.52e-11  2.58e-12
   3.13600  1.52e-11  2.58e-12
   3.13700  1.52e-11  2.58e-12
   3.13800  1.52e-11  2.58e-12
   3.13900  1.51e-11  2.58e-12
   3.14000  1.51e-11  2.57e-12
   3.14100  1.51e-11  2.57e-12
   3.14200  1.51e-11  2.57e-12
   3.14300  1.51e-11  2.57e-12
   3.14400  1.51e-11  2.56e-12
   3.14500  1.51e-11  2.56e-12
   3.14600  1.50e-11  2.56e-12
   3.14700  1.50e-11  2.56e-12
   3.14800  1.50e-11  2.55e-12
   3.14900  1.50e-11  2.55e-12
   3.15000  1.50e-11  2.55e-12
   3.15100  1.50e-11  2.55e-12
   3.15200  1.49e-11  2.54e-12
   3.15300  1.49e-11  2.54e-12
   3.15400  1.49e-11  2.54e-12
   3.15500  1.49e-11  2.53e-12
   3.15600  1.49e-11  2.53e-12
   3.15700  1.49e-11  2.53e-12
   3.15800  1.49e-11  2.53e-12
   3.15900  1.49e-11  2.53e-12
   3.16000  1.48e-11  2.52e-12
   3.16100  1.48e-11  2.52e-12
   3.16200  1.48e-11  2.52e-12
   3.16300  1.48e-11  2.52e-12
   3.16400  1.48e-11  2.51e-12
   3.16500  1.48e-11  2.51e-12
   3.16600  1.48e-11  2.51e-12
   3.16700  1.48e-11  2.51e-12
   3.16800  1.48e-11  2.51e-12
   3.16900  1.47e-11  2.51e-12
   3.17000  1.47e-11  2.50e-12
   3.17100  1.47e-11  2.50e-12
   3.17200  1.47e-11  2.50e-12
   3.17300  1.47e-11  2.50e-12
   3.17400  1.47e-11  2.50e-12
   3.17500  1.47e-11  2.50e-12
   3.17600  1.46e-11  2.49e-12
   3.17700  1.46e-11  2.49e-12
   3.17800  1.46e-11  2.49e-12
   3.17900  1.46e-11  2.49e-12
   3.18000  1.46e-11  2.49e-12
   3.18100  1.46e-11  2.48e-12
   3.18200  1.46e-11  2.48e-12
   3.18300  1.46e-11  2.48e-12
   3.18400  1.46e-11  2.48e-12
   3.18500  1.45e-11  2.48e-12
   3.18600  1.45e-11  2.47e-12
   3.18700  1.45e-11  2.47e-12
   3.18800  1.45e-11  2.47e-12
   3.18900  1.45e-11  2.47e-12
   3.19000  1.45e-11  2.47e-12
   3.19100  1.45e-11  2.46e-12
   3.19200  1.45e-11  2.46e-12
   3.19300  1.45e-11  2.46e-12
   3.19400  1.44e-11  2.46e-12
   3.19500  1.44e-11  2.46e-12
   3.19600  1.44e-11  2.45e-12
   3.19700  1.44e-11  2.45e-12
   3.19800  1.44e-11  2.45e-12
   3.19900  1.44e-11  2.45e-12
   3.20000  1.44e-11  2.44e-12
   3.20100  1.43e-11  2.44e-12
   3.20200  1.43e-11  2.44e-12
   3.20300  1.43e-11  2.44e-12
   3.20400  1.43e-11  2.44e-12
   3.20500  1.43e-11  2.43e-12
   3.20600  1.43e-11  2.43e-12
   3.20700  1.43e-11  2.43e-12
   3.20800  1.42e-11  2.43e-12
   3.20900  1.42e-11  2.42e-12
   3.21000  1.42e-11  2.42e-12
   3.21100  1.42e-11  2.42e-12
   3.21200  1.42e-11  2.42e-12
   3.21300  1.42e-11  2.42e-12
   3.21400  1.42e-11  2.41e-12
   3.21500  1.42e-11  2.41e-12
   3.21600  1.42e-11  2.41e-12
   3.21700  1.41e-11  2.41e-12
   3.21800  1.41e-11  2.41e-12
   3.21900  1.41e-11  2.40e-12
   3.22000  1.41e-11  2.40e-12
   3.22100  1.41e-11  2.40e-12
   3.22200  1.41e-11  2.40e-12
   3.22300  1.41e-11  2.40e-12
   3.22400  1.41e-11  2.39e-12
   3.22500  1.40e-11  2.39e-12
   3.22600  1.40e-11  2.39e-12
   3.22700  1.40e-11  2.39e-12
   3.22800  1.40e-11  2.38e-12
   3.22900  1.40e-11  2.38e-12
   3.23000  1.40e-11  2.38e-12
   3.23100  1.40e-11  2.38e-12
   3.23200  1.40e-11  2.38e-12
   3.23300  1.40e-11  2.37e-12
   3.23400  1.39e-11  2.37e-12
   3.23500  1.39e-11  2.37e-12
   3.23600  1.39e-11  2.37e-12
   3.23700  1.39e-11  2.37e-12
   3.23800  1.39e-11  2.36e-12
   3.23900  1.39e-11  2.36e-12
   3.24000  1.39e-11  2.36e-12
   3.24100  1.39e-11  2.36e-12
   3.24200  1.38e-11  2.36e-12
   3.24300  1.38e-11  2.36e-12
   3.24400  1.38e-11  2.35e-12
   3.24500  1.38e-11  2.35e-12
   3.24600  1.38e-11  2.35e-12
   3.24700  1.38e-11  2.35e-12
   3.24800  1.38e-11  2.35e-12
   3.24900  1.38e-11  2.34e-12
   3.25000  1.37e-11  2.34e-12
   3.25100  1.37e-11  2.34e-12
   3.25200  1.37e-11  2.34e-12
   3.25300  1.37e-11  2.34e-12
   3.25400  1.37e-11  2.33e-12
   3.25500  1.37e-11  2.33e-12
   3.25600  1.37e-11  2.33e-12
   3.25700  1.37e-11  2.33e-12
   3.25800  1.37e-11  2.33e-12
   3.25900  1.36e-11  2.32e-12
   3.26000  1.36e-11  2.32e-12
   3.26100  1.36e-11  2.32e-12
   3.26200  1.36e-11  2.32e-12
   3.26300  1.36e-11  2.32e-12
   3.26400  1.36e-11  2.31e-12
   3.26500  1.36e-11  2.31e-12
   3.26600  1.36e-11  2.31e-12
   3.26700  1.35e-11  2.31e-12
   3.26800  1.35e-11  2.31e-12
   3.26900  1.35e-11  2.30e-12
   3.27000  1.35e-11  2.30e-12
   3.27100  1.35e-11  2.30e-12
   3.27200  1.35e-11  2.30e-12
   3.27300  1.34e-11  2.30e-12
   3.27400  1.34e-11  2.29e-12
   3.27500  1.34e-11  2.29e-12
   3.27600  1.34e-11  2.29e-12
   3.27700  1.33e-11  2.29e-12
   3.27800  1.33e-11  2.29e-12
   3.27900  1.33e-11  2.28e-12
   3.28000  1.33e-11  2.28e-12
   3.28100  1.32e-11  2.28e-12
   3.28200  1.32e-11  2.28e-12
   3.28300  1.32e-11  2.28e-12
   3.28400  1.32e-11  2.27e-12
   3.28500  1.32e-11  2.27e-12
   3.28600  1.31e-11  2.27e-12
   3.28700  1.31e-11  2.27e-12
   3.28800  1.31e-11  2.27e-12
   3.28900  1.31e-11  2.26e-12
   3.29000  1.30e-11  2.26e-12
   3.29100  1.30e-11  2.26e-12
   3.29200  1.30e-11  2.26e-12
   3.29300  1.30e-11  2.26e-12
   3.29400  1.30e-11  2.25e-12
   3.29500  1.30e-11  2.25e-12
   3.29600  1.30e-11  2.25e-12
   3.29700  1.30e-11  2.25e-12
   3.29800  1.30e-11  2.25e-12
   3.29900  1.30e-11  2.25e-12
   3.30000  1.30e-11  2.24e-12
   3.30100  1.30e-11  2.24e-12
   3.30200  1.30e-11  2.24e-12
   3.30300  1.30e-11  2.24e-12
   3.30400  1.30e-11  2.24e-12
   3.30500  1.30e-11  2.23e-12
   3.30600  1.30e-11  2.23e-12
   3.30700  1.30e-11  2.23e-12
   3.30800  1.30e-11  2.23e-12
   3.30900  1.30e-11  2.23e-12
   3.31000  1.30e-11  2.22e-12
   3.31100  1.30e-11  2.22e-12
   3.31200  1.30e-11  2.22e-12
   3.31300  1.30e-11  2.22e-12
   3.31400  1.30e-11  2.22e-12
   3.31500  1.30e-11  2.21e-12
   3.31600  1.30e-11  2.21e-12
   3.31700  1.29e-11  2.21e-12
   3.31800  1.29e-11  2.21e-12
   3.31900  1.29e-11  2.21e-12
   3.32000  1.29e-11  2.20e-12
   3.32100  1.29e-11  2.20e-12
   3.32200  1.29e-11  2.20e-12
   3.32300  1.29e-11  2.20e-12
   3.32400  1.29e-11  2.20e-12
   3.32500  1.29e-11  2.19e-12
   3.32600  1.29e-11  2.19e-12
   3.32700  1.28e-11  2.19e-12
   3.32800  1.28e-11  2.19e-12
   3.32900  1.28e-11  2.19e-12
   3.33000  1.28e-11  2.18e-12
   3.33100  1.28e-11  2.18e-12
   3.33200  1.28e-11  2.18e-12
   3.33300  1.28e-11  2.18e-12
   3.33400  1.28e-11  2.18e-12
   3.33500  1.28e-11  2.18e-12
   3.33600  1.28e-11  2.18e-12
   3.33700  1.28e-11  2.17e-12
   3.33800  1.27e-11  2.17e-12
   3.33900  1.27e-11  2.17e-12
   3.34000  1.27e-11  2.17e-12
   3.34100  1.27e-11  2.17e-12
   3.34200  1.27e-11  2.17e-12
   3.34300  1.27e-11  2.17e-12
   3.34400  1.27e-11  2.16e-12
   3.34500  1.27e-11  2.16e-12
   3.34600  1.27e-11  2.16e-12
   3.34700  1.27e-11  2.16e-12
   3.34800  1.27e-11  2.16e-12
   3.34900  1.26e-11  2.16e-12
   3.35000  1.26e-11  2.16e-12
   3.35100  1.26e-11  2.15e-12
   3.35200  1.26e-11  2.15e-12
   3.35300  1.26e-11  2.15e-12
   3.35400  1.26e-11  2.15e-12
   3.35500  1.26e-11  2.15e-12
   3.35600  1.26e-11  2.14e-12
   3.35700  1.26e-11  2.14e-12
   3.35800  1.25e-11  2.14e-12
   3.35900  1.25e-11  2.14e-12
   3.36000  1.25e-11  2.14e-12
   3.36100  1.25e-11  2.14e-12
   3.36200  1.25e-11  2.13e-12
   3.36300  1.25e-11  2.13e-12
   3.36400  1.25e-11  2.13e-12
   3.36500  1.25e-11  2.13e-12
   3.36600  1.25e-11  2.13e-12
   3.36700  1.24e-11  2.12e-12
   3.36800  1.24e-11  2.12e-12
   3.36900  1.24e-11  2.12e-12
   3.37000  1.24e-11  2.12e-12
   3.37100  1.24e-11  2.12e-12
   3.37200  1.24e-11  2.11e-12
   3.37300  1.24e-11  2.11e-12
   3.37400  1.24e-11  2.11e-12
   3.37500  1.24e-11  2.11e-12
   3.37600  1.23e-11  2.11e-12
   3.37700  1.23e-11  2.11e-12
   3.37800  1.23e-11  2.10e-12
   3.37900  1.23e-11  2.10e-12
   3.38000  1.23e-11  2.10e-12
   3.38100  1.23e-11  2.10e-12
   3.38200  1.23e-11  2.10e-12
   3.38300  1.23e-11  2.09e-12
   3.38400  1.23e-11  2.09e-12
   3.38500  1.22e-11  2.09e-12
   3.38600  1.22e-11  2.09e-12
   3.38700  1.22e-11  2.09e-12
   3.38800  1.22e-11  2.08e-12
   3.38900  1.22e-11  2.08e-12
   3.39000  1.22e-11  2.08e-12
   3.39100  1.22e-11  2.08e-12
   3.39200  1.22e-11  2.08e-12
   3.39300  1.22e-11  2.08e-12
   3.39400  1.22e-11  2.07e-12
   3.39500  1.21e-11  2.07e-12
   3.39600  1.21e-11  2.07e-12
   3.39700  1.21e-11  2.07e-12
   3.39800  1.21e-11  2.07e-12
   3.39900  1.21e-11  2.06e-12
   3.40000  1.21e-11  2.06e-12
   3.40100  1.21e-11  2.06e-12
   3.40200  1.21e-11  2.06e-12
   3.40300  1.21e-11  2.06e-12
   3.40400  1.20e-11  2.06e-12
   3.40500  1.20e-11  2.05e-12
   3.40600  1.20e-11  2.05e-12
   3.40700  1.20e-11  2.05e-12
   3.40800  1.20e-11  2.05e-12
   3.40900  1.20e-11  2.05e-12
   3.41000  1.20e-11  2.04e-12
   3.41100  1.20e-11  2.04e-12
   3.41200  1.20e-11  2.04e-12
   3.41300  1.20e-11  2.04e-12
   3.41400  1.20e-11  2.04e-12
   3.41500  1.19e-11  2.04e-12
   3.41600  1.19e-11  2.04e-12
   3.41700  1.19e-11  2.04e-12
   3.41800  1.19e-11  2.03e-12
   3.41900  1.19e-11  2.03e-12
   3.42000  1.19e-11  2.03e-12
   3.42100  1.19e-11  2.03e-12
   3.42200  1.19e-11  2.03e-12
   3.42300  1.19e-11  2.03e-12
   3.42400  1.19e-11  2.03e-12
   3.42500  1.19e-11  2.03e-12
   3.42600  1.19e-11  2.02e-12
   3.42700  1.18e-11  2.02e-12
   3.42800  1.18e-11  2.02e-12
   3.42900  1.18e-11  2.02e-12
   3.43000  1.18e-11  2.02e-12
   3.43100  1.18e-11  2.02e-12
   3.43200  1.18e-11  2.02e-12
   3.43300  1.18e-11  2.01e-12
   3.43400  1.18e-11  2.01e-12
   3.43500  1.18e-11  2.01e-12
   3.43600  1.18e-11  2.01e-12
   3.43700  1.18e-11  2.01e-12
   3.43800  1.18e-11  2.01e-12
   3.43900  1.17e-11  2.01e-12
   3.44000  1.17e-11  2.00e-12
   3.44100  1.17e-11  2.00e-12
   3.44200  1.17e-11  2.00e-12
   3.44300  1.17e-11  2.00e-12
   3.44400  1.17e-11  2.00e-12
   3.44500  1.17e-11  2.00e-12
   3.44600  1.17e-11  2.00e-12
   3.44700  1.17e-11  1.99e-12
   3.44800  1.17e-11  1.99e-12
   3.44900  1.17e-11  1.99e-12
   3.45000  1.16e-11  1.99e-12
   3.45100  1.16e-11  1.99e-12
   3.45200  1.16e-11  1.99e-12
   3.45300  1.16e-11  1.98e-12
   3.45400  1.16e-11  1.98e-12
   3.45500  1.16e-11  1.98e-12
   3.45600  1.16e-11  1.98e-12
   3.45700  1.16e-11  1.98e-12
   3.45800  1.16e-11  1.98e-12
   3.45900  1.16e-11  1.97e-12
   3.46000  1.16e-11  1.97e-12
   3.46100  1.15e-11  1.97e-12
   3.46200  1.15e-11  1.97e-12
   3.46300  1.15e-11  1.97e-12
   3.46400  1.15e-11  1.97e-12
   3.46500  1.15e-11  1.96e-12
   3.46600  1.15e-11  1.96e-12
   3.46700  1.15e-11  1.96e-12
   3.46800  1.15e-11  1.96e-12
   3.46900  1.15e-11  1.96e-12
   3.47000  1.15e-11  1.96e-12
   3.47100  1.14e-11  1.96e-12
   3.47200  1.14e-11  1.95e-12
   3.47300  1.14e-11  1.95e-12
   3.47400  1.14e-11  1.95e-12
   3.47500  1.14e-11  1.95e-12
   3.47600  1.14e-11  1.95e-12
   3.47700  1.14e-11  1.95e-12
   3.47800  1.14e-11  1.94e-12
   3.47900  1.14e-11  1.94e-12
   3.48000  1.14e-11  1.94e-12
   3.48100  1.14e-11  1.94e-12
   3.48200  1.13e-11  1.94e-12
   3.48300  1.13e-11  1.94e-12
   3.48400  1.13e-11  1.94e-12
   3.48500  1.13e-11  1.93e-12
   3.48600  1.13e-11  1.93e-12
   3.48700  1.13e-11  1.93e-12
   3.48800  1.13e-11  1.93e-12
   3.48900  1.13e-11  1.93e-12
   3.49000  1.13e-11  1.93e-12
   3.49100  1.13e-11  1.92e-12
   3.49200  1.13e-11  1.92e-12
   3.49300  1.12e-11  1.92e-12
   3.49400  1.12e-11  1.92e-12
   3.49500  1.12e-11  1.92e-12
   3.49600  1.12e-11  1.92e-12
   3.49700  1.12e-11  1.92e-12
   3.49800  1.12e-11  1.91e-12
   3.49900  1.12e-11  1.91e-12
   3.50000  1.12e-11  1.91e-12
   3.50100  1.12e-11  1.91e-12
   3.50200  1.12e-11  1.91e-12
   3.50300  1.12e-11  1.91e-12
   3.50400  1.12e-11  1.91e-12
   3.50500  1.11e-11  1.90e-12
   3.50600  1.11e-11  1.90e-12
