# FORPRINT: Tue Nov 29 08:32:13 2016
# lambda[um]  F1       F2
   0.25800  1.12e-11  2.08e-15
   0.25900  9.82e-12  2.02e-15
   0.26000  8.43e-12  2.58e-15
   0.26100  7.20e-12  2.83e-15
   0.26200  8.38e-12  3.34e-15
   0.26300  1.39e-11  5.30e-15
   0.26400  2.12e-11  6.03e-15
   0.26500  2.84e-11  7.66e-15
   0.26600  2.67e-11  8.31e-15
   0.26700  2.31e-11  6.32e-15
   0.26800  2.65e-11  7.26e-15
   0.26900  2.46e-11  6.85e-15
   0.27000  2.33e-11  6.90e-15
   0.27100  2.21e-11  8.08e-15
   0.27200  1.76e-11  6.90e-15
   0.27300  1.84e-11  6.70e-15
   0.27400  1.52e-11  8.10e-15
   0.27500  1.23e-11  9.25e-15
   0.27600  1.69e-11  1.11e-14
   0.27700  2.01e-11  1.47e-14
   0.27800  1.61e-11  1.38e-14
   0.27900  7.86e-12  1.12e-14
   0.28000  4.96e-12  1.18e-14
   0.28100  1.21e-11  1.35e-14
   0.28200  2.41e-11  1.53e-14
   0.28300  2.91e-11  1.48e-14
   0.28400  2.53e-11  1.20e-14
   0.28500  1.66e-11  7.66e-15
   0.28600  2.12e-11  9.96e-15
   0.28700  3.46e-11  1.61e-14
   0.28800  3.57e-11  2.07e-14
   0.28900  3.53e-11  2.72e-14
   0.29000  4.14e-11  4.40e-14
   0.29100  4.90e-11  7.11e-14
   0.29200  4.64e-11  6.28e-14
   0.29300  4.37e-11  5.45e-14
   0.29400  4.32e-11  4.75e-14
   0.29500  4.27e-11  4.04e-14
   0.29600  4.43e-11  3.97e-14
   0.29700  4.60e-11  3.90e-14
   0.29800  4.65e-11  4.12e-14
   0.29900  4.70e-11  4.34e-14
   0.30000  4.85e-11  4.33e-14
   0.30100  5.00e-11  4.33e-14
   0.30200  5.04e-11  4.94e-14
   0.30300  5.09e-11  5.55e-14
   0.30400  5.24e-11  5.93e-14
   0.30500  5.39e-11  6.31e-14
   0.30600  5.44e-11  7.82e-14
   0.30700  5.50e-11  9.33e-14
   0.30800  5.49e-11  8.82e-14
   0.30900  5.49e-11  8.30e-14
   0.31000  5.64e-11  1.22e-13
   0.31100  5.80e-11  1.61e-13
   0.31200  5.77e-11  1.49e-13
   0.31300  5.74e-11  1.37e-13
   0.31400  5.62e-11  1.70e-13
   0.31500  5.50e-11  2.03e-13
   0.31600  5.69e-11  2.37e-13
   0.31700  5.88e-11  2.72e-13
   0.31800  5.62e-11  2.36e-13
   0.31900  5.35e-11  2.00e-13
   0.32000  5.70e-11  2.08e-13
   0.32100  6.05e-11  2.17e-13
   0.32200  5.63e-11  2.08e-13
   0.32300  5.21e-11  1.99e-13
   0.32400  5.90e-11  2.95e-13
   0.32500  6.59e-11  3.90e-13
   0.32600  7.05e-11  4.61e-13
   0.32700  7.52e-11  5.31e-13
   0.32800  7.41e-11  5.64e-13
   0.32900  7.31e-11  5.98e-13
   0.33000  7.34e-11  5.32e-13
   0.33100  7.37e-11  4.66e-13
   0.33200  7.42e-11  4.84e-13
   0.33300  7.47e-11  5.03e-13
   0.33400  7.45e-11  4.84e-13
   0.33500  7.44e-11  4.65e-13
   0.33600  6.85e-11  3.56e-13
   0.33700  6.26e-11  2.45e-13
   0.33800  6.65e-11  2.78e-13
   0.33900  7.05e-11  3.11e-13
   0.34000  7.09e-11  3.20e-13
   0.34100  7.14e-11  3.29e-13
   0.34200  7.24e-11  3.60e-13
   0.34300  7.34e-11  3.92e-13
   0.34400  7.52e-11  3.88e-13
   0.34500  7.70e-11  3.85e-13
   0.34600  7.83e-11  3.83e-13
   0.34700  7.95e-11  3.81e-13
   0.34800  8.20e-11  4.69e-13
   0.34900  8.46e-11  5.56e-13
   0.35000  8.62e-11  6.51e-13
   0.35100  8.79e-11  7.46e-13
   0.35200  8.57e-11  7.05e-13
   0.35300  8.36e-11  6.65e-13
   0.35400  8.93e-11  7.88e-13
   0.35500  9.51e-11  9.12e-13
   0.35600  8.71e-11  6.43e-13
