      lambda       flux         err
      9357.98      114194.      4381.31
      9360.40      111487.      5924.18
      9362.82      115087.      3690.12
      9365.24      113725.      6035.74
      9367.66      134221.      10620.2
      9370.08      119785.      9316.87
      9372.50      124136.      12782.4
      9374.92      106741.      7897.04
      9377.34      115624.      8894.45
      9379.76      124184.      7755.72
      9382.19      118568.      6108.57
      9384.61      113587.      2485.30
      9387.03      131568.      7401.53
      9389.45      114013.      3859.97
      9391.87      102910.      7569.81
      9394.29      100960.      6076.51
      9396.71      98394.8      6387.44
      9399.13      110410.      6032.20
      9401.55      113281.      4912.05
      9403.97      113831.      6472.15
      9406.39      118600.      6070.31
      9408.81      114104.      6731.73
      9411.23      115695.      7782.69
      9413.66      109101.      4026.33
      9416.08      116026.      4124.56
      9418.50      118621.      6104.39
      9420.92      118667.      8907.91
      9423.34      127643.      5264.23
      9425.76      139697.      4979.41
      9428.18      118296.      7266.05
      9430.60      124886.      9829.04
      9433.02      109405.      5483.48
      9435.44      116444.      4221.41
      9437.86      102946.      5286.40
      9440.28      111434.      7821.65
      9442.70      126571.      5350.40
      9445.12      125106.      13174.7
      9447.55      126711.      4953.25
      9449.97      115220.      8559.46
      9452.39      132103.      8366.90
      9454.81      131289.      10367.9
      9457.23      121245.      4259.59
      9459.65      114359.      15973.1
      9462.07      127418.      2390.49
      9464.49      140157.      12897.4
      9468.47      121509.      2776.69
      9471.23      125946.      1503.05
      9473.99      116796.      2906.70
      9476.76      124946.      4658.06
      9479.52      123836.      4810.40
      9482.28      123147.      3406.74
      9485.05      130743.      7901.43
      9487.81      122867.      2090.94
      9490.57      121404.      3462.50
      9493.34      124681.      4940.77
      9496.10      129390.      7169.39
      9498.86      134653.      3652.05
      9501.63      125639.      8288.55
      9504.39      134980.      7063.03
      9507.15      139037.      7887.81
      9509.92      131333.      6614.45
      9512.68      125530.      2612.47
      9515.44      122934.      3874.24
      9518.21      124235.      1563.52
      9520.97      128645.      6325.97
      9523.73      131769.      1793.80
      9526.50      127007.      3821.10
      9529.26      124809.      2315.09
      9532.02      125523.      1485.99
      9534.79      125171.      2150.73
      9537.55      127113.      4392.10
      9540.31      123560.      2395.27
      9543.08      133298.      4170.21
      9545.84      136719.      6653.62
      9548.60      135209.      4343.63
      9551.37      137929.      5615.42
      9554.13      132685.      2995.72
      9556.89      133947.      2082.01
      9559.66      129071.      3830.27
      9562.42      134753.      4913.73
      9565.18      140552.      1696.66
      9567.94      137473.      1801.64
      9570.71      135864.      1426.94
      9573.47      129607.      2976.98
      9576.23      130091.      4381.74
      9579.00      124415.      8002.35
      9581.76      129735.      2930.56
      9584.52      136720.      4533.73
      9587.29      133066.      6567.93
      9590.05      127475.      2119.98
      9592.81      129401.      2061.43
      9595.58      134919.      2747.66
      9598.34      132538.      4787.91
      9601.10      127449.      1676.64
      9603.87      129014.      2169.43
      9606.63      124736.      1930.10
      9609.39      132857.      2208.55
      9612.16      131007.      3328.07
      9614.92      129834.      4122.91
      9617.68      132343.      5184.11
      9620.45      143653.      5510.64
      9623.21      136488.      611.316
      9625.97      136636.      2105.61
      9628.74      129978.      884.836
      9631.50      129832.      1598.54
      9634.26      128794.      2052.32
      9637.03      127487.      4476.00
      9639.79      128634.      1708.20
      9642.55      131423.      2479.27
      9645.32      126950.      2918.48
      9648.08      134239.      3183.58
      9650.84      133714.      3492.77
      9653.61      132068.      4859.54
      9656.37      127421.      5130.10
      9659.13      128918.      4055.15
      9661.90      129322.      4195.82
      9664.66      137411.      3663.87
      9667.42      137654.      4234.58
      9670.19      139326.      2728.86
      9672.95      131399.      1576.68
      9675.71      130435.      3247.36
      9678.48      133412.      2174.34
      9681.24      133587.      705.385
      9684.00      129254.      960.556
      9686.77      135223.      2092.30
      9689.53      134421.      4781.96
      9692.29      139186.      6194.83
      9695.06      134027.      1834.34
      9697.82      134401.      1673.55
      9700.58      136189.      2026.82
      9703.35      137014.      2009.97
      9706.11      134760.      1319.92
      9708.87      133602.      1409.07
      9711.64      137388.      3009.79
      9714.40      134558.      1862.24
      9717.16      141926.      3988.92
      9719.93      137053.      2851.35
      9722.69      132995.      3206.45
      9725.45      132262.      3669.14
      9728.22      126697.      1587.82
      9730.98      126136.      1513.02
      9733.74      125528.      422.555
      9736.51      123612.      2178.05
      9739.27      126724.      3566.82
      9742.03      126407.      1288.98
      9744.80      127863.      2121.25
      9747.56      130571.      2508.42
      9750.32      128829.      2505.89
      9753.09      124895.      2051.51
      9755.85      126627.      4285.04
      9758.61      126031.      2745.56
      9761.38      127136.      2771.94
      9764.14      131839.      1881.26
      9766.90      130801.      1964.40
      9769.67      128966.      2286.84
      9772.43      128814.      1400.89
      9775.19      129861.      2453.76
      9777.96      130365.      1993.98
      9780.72      132023.      3421.74
      9783.48      131736.      2036.38
      9786.25      132456.      3002.46
      9789.01      130375.      4114.74
      9791.77      135374.      2627.97
      9794.54      132588.      1148.85
      9797.30      137341.      2994.21
      9800.06      137177.      4483.72
      9802.83      134336.      1759.73
      9805.59      135176.      2568.38
      9808.35      135033.      2032.44
      9811.11      133424.      2562.42
      9813.88      130003.      797.030
      9816.64      130513.      2565.30
      9819.40      135424.      3053.98
      9822.17      127867.      1497.38
      9824.93      129023.      762.268
      9827.69      134136.      916.711
      9830.46      131500.      1598.56
      9833.22      130837.      2947.21
      9835.98      133087.      3037.39
      9838.75      134026.      3505.38
      9841.51      135417.      2421.74
      9844.27      136887.      1914.35
      9847.04      134946.      1428.13
      9849.80      132374.      2709.04
      9852.56      138281.      5493.32
      9855.33      136299.      1045.70
      9858.09      137392.      3011.60
      9860.85      137298.      3098.32
      9863.62      137572.      798.230
      9866.38      136792.      2715.95
      9869.14      141913.      3191.04
      9871.91      139184.      2572.01
      9874.67      139589.      2547.29
      9877.43      138819.      2941.66
      9880.20      142605.      2466.46
      9882.96      139665.      1558.54
      9885.72      140122.      3371.11
      9888.49      138282.      1940.45
      9891.25      137772.      3856.83
      9894.01      134492.      4531.54
      9896.78      129678.      4710.92
      9899.54      123686.      4265.51
      9902.30      118904.      3695.22
      9905.07      112024.      3716.25
      9907.83      113874.      4350.66
      9910.59      111449.      1112.00
      9913.36      108716.      1789.87
      9916.12      107723.      3174.77
      9918.88      111961.      2452.20
      9921.65      109817.      1671.47
      9924.41      112736.      1979.27
      9927.17      116427.      1890.58
      9929.94      121237.      1809.99
      9932.70      115837.      1950.10
      9935.46      117183.      2179.54
      9938.23      121564.      2477.98
      9940.99      127142.      2599.67
      9943.75      127301.      1381.44
      9946.52      132012.      3075.04
      9949.28      133543.      1636.07
      9952.04      132663.      1370.72
      9954.81      130985.      2461.60
      9957.57      131074.      1590.79
      9960.33      133309.      1363.15
      9963.10      134727.      1147.52
      9965.86      131726.      509.820
      9968.62      130247.      1529.96
      9971.39      130041.      2427.60
      9974.15      129861.      1473.02
      9976.91      126901.      3070.74
