#lambda(micron) aperture1 norm_flux
0.502016247416 1. 0.00919685052265
0.502815514736 1. 0.00999324971628
0.503614782056 1. -0.00442966653074
0.504414049376 1. 0.0177430012069
0.505213316695 1. 0.0235774604064
0.506012584015 1. 0.0341772989367
0.506811851335 1. 0.0206892036401
0.507611118655 1. -0.0204003989251
0.508410385975 1. 0.00067837796676
0.509209653295 1. -0.0143041459712
0.510008920615 1. -0.0224906745535
0.510808187935 1. 0.0211725187139
0.511607455254 1. 0.0488934087295
0.512406722574 1. 0.00609535553623
0.513205989894 1. -0.022296128167
0.514005257214 1. -0.00226143052956
0.514804524534 1. -0.0316180472651
0.515603791854 1. -0.0244847332557
0.516403059174 1. -0.0174606716549
0.517202326494 1. -0.0105440053976
0.518001593813 1. -0.0111887246353
0.518800861133 1. 0.000863374061028
0.519600128453 1. 0.00114740019095
0.520399395773 1. 0.00142708367109
0.521198663093 1. 0.00170249721195
0.521997930413 1. 0.00197370959369
0.522797197733 1. 0.0288122775903
0.523596465053 1. 0.0131619429419
0.524395732372 1. 0.00473289543283
0.525194999692 1. 0.0023286647965
0.525994267012 1. -0.0216557748333
0.526793534332 1. -0.0238165435993
0.527592801652 1. 0.00999108477813
0.528392068972 1. -0.0169117108088
0.529191336292 1. -0.0166743110928
0.529990603612 1. 0.0301578013923
0.530789870931 1. 0.00334950977743
0.531589138251 1. -0.0211770778575
0.532388405571 1. -0.00549347325188
0.533187672891 1. -0.00639936067182
0.533986940211 1. 0.0097861296572
0.534786207531 1. 0.00967551474598
0.535585474851 1. -0.0366500120365
0.536384742171 1. -0.0183873306902
0.53718400949 1. -0.00172982947427
0.53798327681 1. 0.00575640679221
0.53878254413 1. -0.00703668440213
0.53958181145 1. 0.00570145142563
0.54038107877 1. 0.00219921590591
0.54118034609 1. -0.0591653033452
0.54197961341 1. -0.00520246757096
0.54277888073 1. 0.0107599096687
0.543578148049 1. 0.00107323091636
0.544377415369 1. -0.00499839349143
0.545176682689 1. 0.0188620023877
0.545975950009 1. 0.00178324547484
0.546775217329 1. 0.00129238783508
0.547574484649 1. -0.0170875981141
0.548373751969 1. -0.0198203821886
0.549173019289 1. 0.0108375592206
0.549972286608 1. -0.0253551333762
0.550771553928 1. -0.0144779338433
0.551570821248 1. 0.00712405161134
0.552370088568 1. -0.0199703000617
0.553169355888 1. -0.00187757618634
0.553968623208 1. -0.0262077751085
0.554767890528 1. 0.0117381178139
0.555567157848 1. 0.0131684999861
0.556366425167 1. 0.00842244133624
0.557165692487 1. 0.0199357625839
0.557964959807 1. -0.0622175058668
0.558764227127 1. -0.0356711062637
0.559563494447 1. -0.010041851104
0.560362761767 1. 0.000263272724891
0.561162029087 1. -0.00952924877301
0.561961296407 1. 0.00403936191641
0.562760563726 1. -0.00222951030147
0.563559831046 1. -0.0120618759631
0.564359098366 1. -0.000135295893987
0.565158365686 1. 0.00415529910373
0.565957633006 1. -0.0155994143859
0.566756900326 1. 0.00972046095824
0.567556167646 1. 0.000598438362311
0.568355434966 1. 0.0165915095776
0.569154702286 1. 0.00909371955044
0.569953969605 1. -0.00957224621341
0.570753236925 1. 0.00219725206791
0.571552504245 1. 0.00616578316883
0.572351771565 1. -0.00787677211324
0.573151038885 1. -0.00899110934248
0.573950306205 1. 0.013338796445
0.574749573525 1. 0.00244557407708
0.575548840845 1. -0.0205792568792
0.576348108164 1. -0.0229950723911
0.577147375484 1. -0.00473971449673
0.577946642804 1. 0.00467818898502
0.578745910124 1. -0.00654360581749
0.579545177444 1. 0.019938775811
0.580344444764 1. 0.0057292844732
0.581143712084 1. 0.00590978987654
0.581942979404 1. 0.000779088859084
0.582742246723 1. -0.00391656636223
0.583541514043 1. 0.00346193590014
0.584340781363 1. -0.0281008448499
0.585140048683 1. 0.00236399193634
0.585939316003 1. 0.00092841227497
0.586738583323 1. -0.0405252185818
0.587537850643 1. -0.0260507368487
0.588337117963 1. -0.00928122415626
0.589136385282 1. -0.00116413146186
0.589935652602 1. 0.0454173237631
0.590734919922 1. 0.0012229981282
0.591534187242 1. -0.0229364552986
0.592333454562 1. 0.0265119145292
0.593132721882 1. 0.0312372048388
0.593931989202 1. 0.0201057937479
0.594731256522 1. 0.00476959784882
0.595530523841 1. 0.00859722488336
0.596329791161 1. 0.0326502118266
0.597129058481 1. 0.0194028537226
0.597928325801 1. 0.0052700162616
0.598727593121 1. 1.11959825822e-05
0.599526860441 1. -0.000859163403702
0.600326127761 1. 0.0329646387976
0.601125395081 1. 0.00828437003084
0.6019246624 1. -0.0164008279824
0.60272392972 1. 0.0152286236922
0.60352319704 1. -0.0109350862454
0.60432246436 1. -0.024040789924
0.60512173168 1. -0.025076052869
0.605920999 1. -0.0107615898703
0.60672026632 1. -0.00173608388562
