#Spectrum of PZTelB from Maire et al. 2016
#Distance assumed: 51.49 +/-2.47 pc (Hipparcos).
#Flux-calibrared using the H-band mag reported in Bejar et al. 2008
#Resolving power: 50
#Wavelength [microns] Flux at 10 pc [W.m-2.microns-1]	Flux error [W.m-2.microns-1]
     0.913200 -4.09124e-13  3.64010e-11
     0.913300 -4.04449e-13  3.62691e-11
     0.913400 -3.99774e-13  3.61372e-11
     0.913500 -3.95102e-13  3.60054e-11
     0.913600 -3.90428e-13  3.58735e-11
     0.913700 -3.85753e-13  3.57416e-11
     0.913800 -3.81078e-13  3.56097e-11
     0.913900 -3.76407e-13  3.54778e-11
     0.914000 -3.71732e-13  3.53459e-11
     0.914100 -3.67058e-13  3.52140e-11
     0.914200 -3.62386e-13  3.50822e-11
     0.914300 -3.57711e-13  3.49503e-11
     0.914400 -3.53036e-13  3.48184e-11
     0.914500 -3.48362e-13  3.46865e-11
     0.914600 -3.43690e-13  3.45546e-11
     0.914700 -3.39015e-13  3.44227e-11
     0.914800 -3.34341e-13  3.42908e-11
     0.914900 -3.29666e-13  3.41589e-11
     0.915000 -3.24994e-13  3.40271e-11
     0.915100 -3.20320e-13  3.38952e-11
     0.915200 -3.15645e-13  3.37633e-11
     0.915300 -3.10973e-13  3.36314e-11
     0.915400 -3.06299e-13  3.34995e-11
     0.915500 -3.01624e-13  3.33676e-11
     0.915600 -2.96950e-13  3.32357e-11
     0.915700 -2.92278e-13  3.31039e-11
     0.915800 -2.87603e-13  3.29720e-11
     0.915900 -2.82928e-13  3.28401e-11
     0.916000 -2.78257e-13  3.27082e-11
     0.916100 -2.73582e-13  3.25763e-11
     0.916200 -2.68907e-13  3.24444e-11
     0.916300 -2.64233e-13  3.23125e-11
     0.916400 -2.59561e-13  3.21807e-11
     0.916500 -2.54886e-13  3.20488e-11
     0.916600 -2.50212e-13  3.19169e-11
     0.916700 -2.45537e-13  3.17850e-11
     0.916800 -2.40865e-13  3.16531e-11
     0.916900 -2.36191e-13  3.15212e-11
     0.917000 -2.31516e-13  3.13893e-11
     0.917100 -2.26844e-13  3.12575e-11
     0.917200 -2.22170e-13  3.11256e-11
     0.917300 -2.17495e-13  3.09937e-11
     0.917400 -2.12820e-13  3.08618e-11
     0.917500 -2.08149e-13  3.07299e-11
     0.917600 -2.03474e-13  3.05980e-11
     0.917700 -1.98799e-13  3.04661e-11
     0.917800 -1.94127e-13  3.03343e-11
     0.917900 -1.89453e-13  3.02024e-11
     0.918000 -1.84778e-13  3.00705e-11
     0.918100 -1.80104e-13  2.99386e-11
     0.918200 -1.75432e-13  2.98067e-11
     0.918300 -1.70757e-13  2.96748e-11
     0.918400 -1.66083e-13  2.95429e-11
     0.918500 -1.61411e-13  2.94111e-11
     0.918600 -1.56736e-13  2.92792e-11
     0.918700 -1.52062e-13  2.91473e-11
     0.918800 -1.47387e-13  2.90154e-11
     0.918900 -1.42715e-13  2.88835e-11
     0.919000 -1.38041e-13  2.87516e-11
     0.919100 -1.33366e-13  2.86197e-11
     0.919200 -1.28691e-13  2.84878e-11
     0.919300 -1.24019e-13  2.83560e-11
     0.919400 -1.19345e-13  2.82241e-11
     0.919500 -1.14670e-13  2.80922e-11
     0.919600 -1.09998e-13  2.79603e-11
     0.919700 -1.05324e-13  2.78284e-11
     0.919800 -1.00649e-13  2.76965e-11
     0.919900 -9.59746e-14  2.75646e-11
     0.920000 -9.13028e-14  2.74328e-11
     0.920100 -8.66282e-14  2.73009e-11
     0.920200 -8.19535e-14  2.71690e-11
     0.920300 -7.72817e-14  2.70371e-11
     0.920400 -7.26071e-14  2.69052e-11
     0.920500 -6.79325e-14  2.67733e-11
     0.920600 -6.32579e-14  2.66414e-11
     0.920700 -5.85861e-14  2.65096e-11
     0.920800 -5.39115e-14  2.63777e-11
     0.920900 -4.92368e-14  2.62458e-11
     0.921000 -4.45622e-14  2.61138e-11
     0.921100 -3.98904e-14  2.59820e-11
     0.921200 -3.52158e-14  2.58501e-11
     0.921300 -3.05412e-14  2.57182e-11
     0.921400 -2.58693e-14  2.55864e-11
     0.921500 -2.11948e-14  2.54545e-11
     0.921600 -1.65201e-14  2.53226e-11
     0.921700 -1.18455e-14  2.51906e-11
     0.921800 -7.17371e-15  2.50588e-11
     0.921900 -2.49907e-15  2.49269e-11
     0.922000  2.17552e-15  2.47950e-11
     0.922100  6.84737e-15  2.46632e-11
     0.922200  1.15220e-14  2.45313e-11
     0.922300  1.61966e-14  2.43994e-11
     0.922400  2.08712e-14  2.42675e-11
     0.922500  2.55430e-14  2.41356e-11
     0.922600  3.02176e-14  2.40037e-11
     0.922700  3.48922e-14  2.38718e-11
     0.922800  3.95641e-14  2.37400e-11
     0.922900  4.42387e-14  2.36081e-11
